"{""richText"":[{""font"":{""bold"":true,""size"":8,""color"":{}},""text"":""Note: ""},{""font"":{""size"":8,""color"":{}},""text"":""The data and information in this document is reflective of a hypothetical situation and client. This document is to be used for KPMG Virtual Internship purposes only. ""}]}",,,,,,,,,,,,,,,,,,,,,,
"first_name","last_name","gender","past_3_years_bike_related_purchases","DOB","job_title","job_industry_category","wealth_segment","deceased_indicator","owns_car","tenure","address","postcode","state","country","property_valuation",,,,,,"Rank","Value"
"Robert","Corkill","Male","55","1976-03-12","Clinical Specialist","Health","Mass Customer","N","No","4","5612 Toban Point","2227","NSW","Australia","10","{""formula"":"""",""result"":0.47}","{""formula"":""Q168*(IF(J168=\""Yes\"",1.25,1))"",""result"":0.47}","{""formula"":""R168*(IF(OR(VALUE(P168)>8,VALUE(D168)>80),1.25,1))"",""result"":0.5874999999999999}","{""formula"":""S168*(IF(H168=\""Mass Customer\"",0.85,1))"",""result"":0.4993749999999999}","{""formula"":""RANK(W168,W1:W1002,0)"",""result"":166}","166","1.175"
"Elvira","Kurten","Female","65","1973-03-18","Assistant Professor","Financial Services","High Net Worth","N","No","12","65 Ridge Oak Court","2471","NSW","Australia","3","{""formula"":"""",""result"":1.05}","{""formula"":""Q169*(IF(J169=\""Yes\"",1.25,1))"",""result"":1.05}","{""formula"":""R169*(IF(OR(VALUE(P169)>8,VALUE(D169)>80),1.25,1))"",""result"":1.05}","{""formula"":""S169*(IF(H169=\""Mass Customer\"",0.85,1))"",""result"":1.05}","{""formula"":""RANK(W169,W1:W1002,0)"",""result"":166}","166","1.175"
"Juliana","Mitchenson","Female","55","1989-01-05","Environmental Tech","Manufacturing","Mass Customer","N","Yes","8","74 Russell Terrace","4350","QLD","Australia","4","{""formula"":"""",""result"":0.63}","{""formula"":""Q170*(IF(J170=\""Yes\"",1.25,1))"",""result"":0.7875}","{""formula"":""R170*(IF(OR(VALUE(P170)>8,VALUE(D170)>80),1.25,1))"",""result"":0.7875}","{""formula"":""S170*(IF(H170=\""Mass Customer\"",0.85,1))"",""result"":0.6693749999999999}","{""formula"":""RANK(W170,W1:W1002,0)"",""result"":166}","166","1.175"
"Regine","Bownes","Female","99","1952-07-01","Senior Developer","Retail","Affluent Customer","N","No","15","255 Loeprich Lane","3752","VIC","Australia","9","{""formula"":"""",""result"":0.58}","{""formula"":""Q171*(IF(J171=\""Yes\"",1.25,1))"",""result"":0.58}","{""formula"":""R171*(IF(OR(VALUE(P171)>8,VALUE(D171)>80),1.25,1))"",""result"":0.725}","{""formula"":""S171*(IF(H171=\""Mass Customer\"",0.85,1))"",""result"":0.725}","{""formula"":""RANK(W171,W1:W1002,0)"",""result"":166}","166","1.175"
"Abner","Fraschetti","Male","33","1986-01-23","Staff Scientist","Argiculture","Affluent Customer","N","No","13","67 Northport Avenue","3805","VIC","Australia","7","{""formula"":"""",""result"":0.82}","{""formula"":""Q172*(IF(J172=\""Yes\"",1.25,1))"",""result"":0.82}","{""formula"":""R172*(IF(OR(VALUE(P172)>8,VALUE(D172)>80),1.25,1))"",""result"":0.82}","{""formula"":""S172*(IF(H172=\""Mass Customer\"",0.85,1))"",""result"":0.82}","{""formula"":""RANK(W172,W1:W1002,0)"",""result"":166}","166","1.175"
"Alvira","Coulman","Female","42","1955-06-05","Account Representative II","n/a","Affluent Customer","N","No","14","823 Wayridge Trail","2205","NSW","Australia","9","{""formula"":"""",""result"":0.42}","{""formula"":""Q173*(IF(J173=\""Yes\"",1.25,1))"",""result"":0.42}","{""formula"":""R173*(IF(OR(VALUE(P173)>8,VALUE(D173)>80),1.25,1))"",""result"":0.525}","{""formula"":""S173*(IF(H173=\""Mass Customer\"",0.85,1))"",""result"":0.525}","{""formula"":""RANK(W173,W1:W1002,0)"",""result"":166}","166","1.175"
"Sawyer","Sponton","Male","36","1956-02-22","Help Desk Technician","Property","Mass Customer","N","Yes","10","5 Golf Terrace","2126","NSW","Australia","11","{""formula"":"""",""result"":0.89}","{""formula"":""Q174*(IF(J174=\""Yes\"",1.25,1))"",""result"":1.1125}","{""formula"":""R174*(IF(OR(VALUE(P174)>8,VALUE(D174)>80),1.25,1))"",""result"":1.390625}","{""formula"":""S174*(IF(H174=\""Mass Customer\"",0.85,1))"",""result"":1.18203125}","{""formula"":""RANK(W174,W1:W1002,0)"",""result"":166}","166","1.175"
"Feodor","Vickers","Male","60","1989-11-18","VP Quality Control","Financial Services","Mass Customer","N","Yes","4","40809 Truax Way","2209","NSW","Australia","6","{""formula"":"""",""result"":1.01}","{""formula"":""Q175*(IF(J175=\""Yes\"",1.25,1))"",""result"":1.2625}","{""formula"":""R175*(IF(OR(VALUE(P175)>8,VALUE(D175)>80),1.25,1))"",""result"":1.2625}","{""formula"":""S175*(IF(H175=\""Mass Customer\"",0.85,1))"",""result"":1.073125}","{""formula"":""RANK(W175,W1:W1002,0)"",""result"":173}","173","1.171875"
"Paten","Cayet","Male","56","1995-02-19","Assistant Manager","Manufacturing","Affluent Customer","N","Yes","16","1398 Burning Wood Way","3850","VIC","Australia","1","{""formula"":"""",""result"":1}","{""formula"":""Q176*(IF(J176=\""Yes\"",1.25,1))"",""result"":1.25}","{""formula"":""R176*(IF(OR(VALUE(P176)>8,VALUE(D176)>80),1.25,1))"",""result"":1.25}","{""formula"":""S176*(IF(H176=\""Mass Customer\"",0.85,1))"",""result"":1.25}","{""formula"":""RANK(W176,W1:W1002,0)"",""result"":174}","174","1.16875"
"Loria","Tappington","Female","72","1955-09-06","Research Assistant IV","Property","Mass Customer","N","No","5","3920 Swallow Junction","3038","VIC","Australia","8","{""formula"":"""",""result"":0.94}","{""formula"":""Q177*(IF(J177=\""Yes\"",1.25,1))"",""result"":0.94}","{""formula"":""R177*(IF(OR(VALUE(P177)>8,VALUE(D177)>80),1.25,1))"",""result"":0.94}","{""formula"":""S177*(IF(H177=\""Mass Customer\"",0.85,1))"",""result"":0.7989999999999999}","{""formula"":""RANK(W177,W1:W1002,0)"",""result"":174}","174","1.16875"
"Tanya","Kiefer","Female","54","1992-07-05","Speech Pathologist","Telecommunications","High Net Worth","N","No","7","4 Warner Park","2146","NSW","Australia","9","{""formula"":"""",""result"":0.93}","{""formula"":""Q178*(IF(J178=\""Yes\"",1.25,1))"",""result"":0.93}","{""formula"":""R178*(IF(OR(VALUE(P178)>8,VALUE(D178)>80),1.25,1))"",""result"":1.1625}","{""formula"":""S178*(IF(H178=\""Mass Customer\"",0.85,1))"",""result"":1.1625}","{""formula"":""RANK(W178,W1:W1002,0)"",""result"":174}","174","1.16875"
"Devonne","Alderwick","Female","79","1939-01-29","Research Associate","n/a","High Net Worth","N","Yes","9","534 Lien Lane","3122","VIC","Australia","7","{""formula"":"""",""result"":0.56}","{""formula"":""Q179*(IF(J179=\""Yes\"",1.25,1))"",""result"":0.7000000000000001}","{""formula"":""R179*(IF(OR(VALUE(P179)>8,VALUE(D179)>80),1.25,1))"",""result"":0.7000000000000001}","{""formula"":""S179*(IF(H179=\""Mass Customer\"",0.85,1))"",""result"":0.7000000000000001}","{""formula"":""RANK(W179,W1:W1002,0)"",""result"":177}","177","1.1625"
"Omero","McDonand","Male","51","1952-04-01","Software Consultant","Manufacturing","Mass Customer","N","No","16","48 Shoshone Park","2066","NSW","Australia","9","{""formula"":"""",""result"":0.72}","{""formula"":""Q180*(IF(J180=\""Yes\"",1.25,1))"",""result"":0.72}","{""formula"":""R180*(IF(OR(VALUE(P180)>8,VALUE(D180)>80),1.25,1))"",""result"":0.8999999999999999}","{""formula"":""S180*(IF(H180=\""Mass Customer\"",0.85,1))"",""result"":0.7649999999999999}","{""formula"":""RANK(W180,W1:W1002,0)"",""result"":177}","177","1.1625"
"Iain","Haversham","Male","92","1950-12-26","Sales Representative","Retail","Mass Customer","N","Yes","13","170 Briar Crest Place","2120","NSW","Australia","10","{""formula"":"""",""result"":0.91}","{""formula"":""Q181*(IF(J181=\""Yes\"",1.25,1))"",""result"":1.1375}","{""formula"":""R181*(IF(OR(VALUE(P181)>8,VALUE(D181)>80),1.25,1))"",""result"":1.421875}","{""formula"":""S181*(IF(H181=\""Mass Customer\"",0.85,1))"",""result"":1.20859375}","{""formula"":""RANK(W181,W1:W1002,0)"",""result"":177}","177","1.1625"
"Keriann","Newham","Female","71","1975-03-26","Assistant Manager","Financial Services","Mass Customer","N","No","5","0193 Northland Street","4179","QLD","Australia","9","{""formula"":"""",""result"":0.99}","{""formula"":""Q182*(IF(J182=\""Yes\"",1.25,1))"",""result"":0.99}","{""formula"":""R182*(IF(OR(VALUE(P182)>8,VALUE(D182)>80),1.25,1))"",""result"":1.2375}","{""formula"":""S182*(IF(H182=\""Mass Customer\"",0.85,1))"",""result"":1.051875}","{""formula"":""RANK(W182,W1:W1002,0)"",""result"":177}","177","1.1625"
"Conroy","Rappaport","Male","39","1965-01-08","Assistant Manager","Health","High Net Worth","N","No","9","5219 Pearson Drive","2148","NSW","Australia","9","{""formula"":"""",""result"":0.82}","{""formula"":""Q183*(IF(J183=\""Yes\"",1.25,1))"",""result"":0.82}","{""formula"":""R183*(IF(OR(VALUE(P183)>8,VALUE(D183)>80),1.25,1))"",""result"":1.025}","{""formula"":""S183*(IF(H183=\""Mass Customer\"",0.85,1))"",""result"":1.025}","{""formula"":""RANK(W183,W1:W1002,0)"",""result"":181}","181","1.158125"
"Dorian","Rustman","Male","78","1974-12-09","Junior Executive","Manufacturing","Mass Customer","N","No","18","6156 Summit Center","4352","QLD","Australia","7","{""formula"":"""",""result"":0.49}","{""formula"":""Q184*(IF(J184=\""Yes\"",1.25,1))"",""result"":0.49}","{""formula"":""R184*(IF(OR(VALUE(P184)>8,VALUE(D184)>80),1.25,1))"",""result"":0.49}","{""formula"":""S184*(IF(H184=\""Mass Customer\"",0.85,1))"",""result"":0.4165}","{""formula"":""RANK(W184,W1:W1002,0)"",""result"":181}","181","1.158125"
"Quillan","Guinane","Male","36","1946-03-24","Community Outreach Specialist","n/a","High Net Worth","N","Yes","21","803 Badeau Point","2177","NSW","Australia","8","{""formula"":"""",""result"":0.65}","{""formula"":""Q185*(IF(J185=\""Yes\"",1.25,1))"",""result"":0.8125}","{""formula"":""R185*(IF(OR(VALUE(P185)>8,VALUE(D185)>80),1.25,1))"",""result"":0.8125}","{""formula"":""S185*(IF(H185=\""Mass Customer\"",0.85,1))"",""result"":0.8125}","{""formula"":""RANK(W185,W1:W1002,0)"",""result"":181}","181","1.158125"
"Harlin","Mazin","Male","34","1974-03-25","Computer Systems Analyst I","Manufacturing","Mass Customer","N","Yes","13","735 Westridge Road","2454","NSW","Australia","7","{""formula"":"""",""result"":0.92}","{""formula"":""Q186*(IF(J186=\""Yes\"",1.25,1))"",""result"":1.15}","{""formula"":""R186*(IF(OR(VALUE(P186)>8,VALUE(D186)>80),1.25,1))"",""result"":1.15}","{""formula"":""S186*(IF(H186=\""Mass Customer\"",0.85,1))"",""result"":0.9775}","{""formula"":""RANK(W186,W1:W1002,0)"",""result"":181}","181","1.158125"
"Eustacia","Dornan","Female","68","1985-09-02","Account Representative IV","Property","Mass Customer","N","No","5","1190 Hanson Street","3806","VIC","Australia","9","{""formula"":"""",""result"":0.48}","{""formula"":""Q187*(IF(J187=\""Yes\"",1.25,1))"",""result"":0.48}","{""formula"":""R187*(IF(OR(VALUE(P187)>8,VALUE(D187)>80),1.25,1))"",""result"":0.6}","{""formula"":""S187*(IF(H187=\""Mass Customer\"",0.85,1))"",""result"":0.51}","{""formula"":""RANK(W187,W1:W1002,0)"",""result"":181}","181","1.158125"
"Maury","Galego","Male","65","1992-07-27","Social Worker","Health","High Net Worth","N","Yes","3","370 Division Junction","3032","VIC","Australia","10","{""formula"":"""",""result"":0.47}","{""formula"":""Q188*(IF(J188=\""Yes\"",1.25,1))"",""result"":0.5874999999999999}","{""formula"":""R188*(IF(OR(VALUE(P188)>8,VALUE(D188)>80),1.25,1))"",""result"":0.7343749999999999}","{""formula"":""S188*(IF(H188=\""Mass Customer\"",0.85,1))"",""result"":0.7343749999999999}","{""formula"":""RANK(W188,W1:W1002,0)"",""result"":181}","181","1.158125"
"Reggie","Kernar","Female","26","1971-11-28","Senior Editor","Financial Services","High Net Worth","N","No","17","90 Northport Hill","2228","NSW","Australia","10","{""formula"":"""",""result"":0.63}","{""formula"":""Q189*(IF(J189=\""Yes\"",1.25,1))"",""result"":0.63}","{""formula"":""R189*(IF(OR(VALUE(P189)>8,VALUE(D189)>80),1.25,1))"",""result"":0.7875}","{""formula"":""S189*(IF(H189=\""Mass Customer\"",0.85,1))"",""result"":0.7875}","{""formula"":""RANK(W189,W1:W1002,0)"",""result"":181}","181","1.158125"
"Brigitte","Whellams","Female","67","26793","Payment Adjustment Coordinator","n/a","Mass Customer","N","Yes","17","77785 Veith Lane","2766","NSW","Australia","8","{""formula"":"""",""result"":0.68}","{""formula"":""Q190*(IF(J190=\""Yes\"",1.25,1))"",""result"":0.8500000000000001}","{""formula"":""R190*(IF(OR(VALUE(P190)>8,VALUE(D190)>80),1.25,1))"",""result"":0.8500000000000001}","{""formula"":""S190*(IF(H190=\""Mass Customer\"",0.85,1))"",""result"":0.7225}","{""formula"":""RANK(W190,W1:W1002,0)"",""result"":188}","188","1.15625"
"Kinna","Kollasch","Female","7","1986-11-09","Safety Technician I","Property","High Net Worth","N","No","9","232 Knutson Park","4060","QLD","Australia","10","{""formula"":"""",""result"":0.49}","{""formula"":""Q191*(IF(J191=\""Yes\"",1.25,1))"",""result"":0.49}","{""formula"":""R191*(IF(OR(VALUE(P191)>8,VALUE(D191)>80),1.25,1))"",""result"":0.6125}","{""formula"":""S191*(IF(H191=\""Mass Customer\"",0.85,1))"",""result"":0.6125}","{""formula"":""RANK(W191,W1:W1002,0)"",""result"":188}","188","1.15625"
"Maurizio","Comi","Male","74","1996-05-30","VP Product Management","IT","Affluent Customer","N","No","10","25805 Eagan Place","2766","NSW","Australia","9","{""formula"":"""",""result"":0.77}","{""formula"":""Q192*(IF(J192=\""Yes\"",1.25,1))"",""result"":0.77}","{""formula"":""R192*(IF(OR(VALUE(P192)>8,VALUE(D192)>80),1.25,1))"",""result"":0.9625}","{""formula"":""S192*(IF(H192=\""Mass Customer\"",0.85,1))"",""result"":0.9625}","{""formula"":""RANK(W192,W1:W1002,0)"",""result"":190}","190","1.15546875"
"Elbertina","Fendley","Female","32","1992-03-27","Physical Therapy Assistant","Property","Affluent Customer","N","No","8","743 Debra Court","2117","NSW","Australia","11","{""formula"":"""",""result"":0.86}","{""formula"":""Q193*(IF(J193=\""Yes\"",1.25,1))"",""result"":0.86}","{""formula"":""R193*(IF(OR(VALUE(P193)>8,VALUE(D193)>80),1.25,1))"",""result"":1.075}","{""formula"":""S193*(IF(H193=\""Mass Customer\"",0.85,1))"",""result"":1.075}","{""formula"":""RANK(W193,W1:W1002,0)"",""result"":191}","191","1.15"
"Franklin","Wohler","Male","55","1938-10-16","Clinical Specialist","Health","Mass Customer","N","Yes","7","6966 Delladonna Street","2250","NSW","Australia","8","{""formula"":"""",""result"":0.91}","{""formula"":""Q194*(IF(J194=\""Yes\"",1.25,1))"",""result"":1.1375}","{""formula"":""R194*(IF(OR(VALUE(P194)>8,VALUE(D194)>80),1.25,1))"",""result"":1.1375}","{""formula"":""S194*(IF(H194=\""Mass Customer\"",0.85,1))"",""result"":0.9668749999999999}","{""formula"":""RANK(W194,W1:W1002,0)"",""result"":191}","191","1.15"
"Allyson","Petchell","Female","16","1970-03-19","Human Resources Manager","Telecommunications","High Net Worth","N","No","10","98221 Pennsylvania Place","2170","NSW","Australia","8","{""formula"":"""",""result"":1.09}","{""formula"":""Q195*(IF(J195=\""Yes\"",1.25,1))"",""result"":1.09}","{""formula"":""R195*(IF(OR(VALUE(P195)>8,VALUE(D195)>80),1.25,1))"",""result"":1.09}","{""formula"":""S195*(IF(H195=\""Mass Customer\"",0.85,1))"",""result"":1.09}","{""formula"":""RANK(W195,W1:W1002,0)"",""result"":191}","191","1.15"
"Ermentrude","Heindle","Female","47","1969-08-02","GIS Technical Architect","Argiculture","Mass Customer","N","No","7","307 Knutson Center","2226","NSW","Australia","10","{""formula"":"""",""result"":0.69}","{""formula"":""Q196*(IF(J196=\""Yes\"",1.25,1))"",""result"":0.69}","{""formula"":""R196*(IF(OR(VALUE(P196)>8,VALUE(D196)>80),1.25,1))"",""result"":0.8624999999999999}","{""formula"":""S196*(IF(H196=\""Mass Customer\"",0.85,1))"",""result"":0.7331249999999999}","{""formula"":""RANK(W196,W1:W1002,0)"",""result"":191}","191","1.15"
"Alanna","Lerway","Female","26","1944-01-05","Dental Hygienist","Health","Mass Customer","N","Yes","11","593 Alpine Drive","3195","VIC","Australia","12","{""formula"":"""",""result"":0.78}","{""formula"":""Q197*(IF(J197=\""Yes\"",1.25,1))"",""result"":0.9750000000000001}","{""formula"":""R197*(IF(OR(VALUE(P197)>8,VALUE(D197)>80),1.25,1))"",""result"":1.21875}","{""formula"":""S197*(IF(H197=\""Mass Customer\"",0.85,1))"",""result"":1.0359375}","{""formula"":""RANK(W197,W1:W1002,0)"",""result"":195}","195","1.1475"
"Vincent","Jopke","Male","6","1972-03-10","Analog Circuit Design manager","Property","Affluent Customer","N","No","16","45788 Stang Plaza","3687","VIC","Australia","3","{""formula"":"""",""result"":0.41}","{""formula"":""Q198*(IF(J198=\""Yes\"",1.25,1))"",""result"":0.41}","{""formula"":""R198*(IF(OR(VALUE(P198)>8,VALUE(D198)>80),1.25,1))"",""result"":0.41}","{""formula"":""S198*(IF(H198=\""Mass Customer\"",0.85,1))"",""result"":0.41}","{""formula"":""RANK(W198,W1:W1002,0)"",""result"":195}","195","1.1475"
"Mandie","Jeffryes","Female","60","1981-02-16","Business Systems Development Analyst","n/a","High Net Worth","N","No","7","96515 Di Loreto Pass","4109","QLD","Australia","9","{""formula"":"""",""result"":0.64}","{""formula"":""Q199*(IF(J199=\""Yes\"",1.25,1))"",""result"":0.64}","{""formula"":""R199*(IF(OR(VALUE(P199)>8,VALUE(D199)>80),1.25,1))"",""result"":0.8}","{""formula"":""S199*(IF(H199=\""Mass Customer\"",0.85,1))"",""result"":0.8}","{""formula"":""RANK(W199,W1:W1002,0)"",""result"":195}","195","1.1475"
"Collete","Dory","Female","66","1990-01-09","Information Systems Manager","n/a","High Net Worth","N","No","2","8625 Dakota Plaza","2210","NSW","Australia","9","{""formula"":"""",""result"":0.81}","{""formula"":""Q200*(IF(J200=\""Yes\"",1.25,1))"",""result"":0.81}","{""formula"":""R200*(IF(OR(VALUE(P200)>8,VALUE(D200)>80),1.25,1))"",""result"":1.0125}","{""formula"":""S200*(IF(H200=\""Mass Customer\"",0.85,1))"",""result"":1.0125}","{""formula"":""RANK(W200,W1:W1002,0)"",""result"":195}","195","1.1475"
"Leonid","Dorricott","Male","44","1993-11-18","Environmental Tech","n/a","Affluent Customer","N","No","3","02 Hoffman Road","2448","NSW","Australia","3","{""formula"":"""",""result"":0.46}","{""formula"":""Q201*(IF(J201=\""Yes\"",1.25,1))"",""result"":0.46}","{""formula"":""R201*(IF(OR(VALUE(P201)>8,VALUE(D201)>80),1.25,1))"",""result"":0.46}","{""formula"":""S201*(IF(H201=\""Mass Customer\"",0.85,1))"",""result"":0.46}","{""formula"":""RANK(W201,W1:W1002,0)"",""result"":195}","195","1.1475"
"Charlena","Berney","Female","55","1966-01-02","Geological Engineer","Manufacturing","High Net Worth","N","Yes","12","496 Logan Center","4207","QLD","Australia","4","{""formula"":"""",""result"":0.53}","{""formula"":""Q202*(IF(J202=\""Yes\"",1.25,1))"",""result"":0.6625000000000001}","{""formula"":""R202*(IF(OR(VALUE(P202)>8,VALUE(D202)>80),1.25,1))"",""result"":0.6625000000000001}","{""formula"":""S202*(IF(H202=\""Mass Customer\"",0.85,1))"",""result"":0.6625000000000001}","{""formula"":""RANK(W202,W1:W1002,0)"",""result"":195}","195","1.1475"
"Alfonso","Massel","Male","70","1940-12-05",,"n/a","Mass Customer","N","Yes","13","6065 Talisman Crossing","3977","VIC","Australia","7","{""formula"":"""",""result"":0.66}","{""formula"":""Q203*(IF(J203=\""Yes\"",1.25,1))"",""result"":0.8250000000000001}","{""formula"":""R203*(IF(OR(VALUE(P203)>8,VALUE(D203)>80),1.25,1))"",""result"":0.8250000000000001}","{""formula"":""S203*(IF(H203=\""Mass Customer\"",0.85,1))"",""result"":0.70125}","{""formula"":""RANK(W203,W1:W1002,0)"",""result"":201}","201","1.1421875"
"Engracia","Dobbs","Female","84","1959-04-19",,"Health","Mass Customer","N","No","15","72 Eliot Place","2250","NSW","Australia","8","{""formula"":"""",""result"":0.64}","{""formula"":""Q204*(IF(J204=\""Yes\"",1.25,1))"",""result"":0.64}","{""formula"":""R204*(IF(OR(VALUE(P204)>8,VALUE(D204)>80),1.25,1))"",""result"":0.8}","{""formula"":""S204*(IF(H204=\""Mass Customer\"",0.85,1))"",""result"":0.68}","{""formula"":""RANK(W204,W1:W1002,0)"",""result"":202}","202","1.140625"
"Glyn",,"Male","47","1945-02-13","General Manager","Manufacturing","Affluent Customer","N","Yes","21","67 Bluejay Plaza","2300","NSW","Australia","9","{""formula"":"""",""result"":1.08}","{""formula"":""Q205*(IF(J205=\""Yes\"",1.25,1))"",""result"":1.35}","{""formula"":""R205*(IF(OR(VALUE(P205)>8,VALUE(D205)>80),1.25,1))"",""result"":1.6875}","{""formula"":""S205*(IF(H205=\""Mass Customer\"",0.85,1))"",""result"":1.6875}","{""formula"":""RANK(W205,W1:W1002,0)"",""result"":202}","202","1.140625"
"Rosemonde","Cartwight","Female","44","1952-10-20","Analyst Programmer","Retail","Mass Customer","N","Yes","7","518 Paget Hill","4605","QLD","Australia","1","{""formula"":"""",""result"":1}","{""formula"":""Q206*(IF(J206=\""Yes\"",1.25,1))"",""result"":1.25}","{""formula"":""R206*(IF(OR(VALUE(P206)>8,VALUE(D206)>80),1.25,1))"",""result"":1.25}","{""formula"":""S206*(IF(H206=\""Mass Customer\"",0.85,1))"",""result"":1.0625}","{""formula"":""RANK(W206,W1:W1002,0)"",""result"":202}","202","1.140625"
"Alano","Satchel","Male","2","1998-11-26","Recruiting Manager","n/a","Mass Customer","N","No","2","87107 Shelley Crossing","2429","NSW","Australia","7","{""formula"":"""",""result"":1.07}","{""formula"":""Q207*(IF(J207=\""Yes\"",1.25,1))"",""result"":1.07}","{""formula"":""R207*(IF(OR(VALUE(P207)>8,VALUE(D207)>80),1.25,1))"",""result"":1.07}","{""formula"":""S207*(IF(H207=\""Mass Customer\"",0.85,1))"",""result"":0.9095}","{""formula"":""RANK(W207,W1:W1002,0)"",""result"":202}","202","1.140625"
"Corrine","Baribal","Female","19","1948-10-12","Senior Sales Associate","n/a","Affluent Customer","N","Yes","12","3 Mallory Circle","2170","NSW","Australia","8","{""formula"":"""",""result"":0.7}","{""formula"":""Q208*(IF(J208=\""Yes\"",1.25,1))"",""result"":0.875}","{""formula"":""R208*(IF(OR(VALUE(P208)>8,VALUE(D208)>80),1.25,1))"",""result"":0.875}","{""formula"":""S208*(IF(H208=\""Mass Customer\"",0.85,1))"",""result"":0.875}","{""formula"":""RANK(W208,W1:W1002,0)"",""result"":206}","206","1.1375"
"Benoit","Harniman","Male","31","1976-08-27","Research Assistant II","Telecommunications","Affluent Customer","N","No","9","1582 Bashford Drive","4018","QLD","Australia","7","{""formula"":"""",""result"":0.54}","{""formula"":""Q209*(IF(J209=\""Yes\"",1.25,1))"",""result"":0.54}","{""formula"":""R209*(IF(OR(VALUE(P209)>8,VALUE(D209)>80),1.25,1))"",""result"":0.54}","{""formula"":""S209*(IF(H209=\""Mass Customer\"",0.85,1))"",""result"":0.54}","{""formula"":""RANK(W209,W1:W1002,0)"",""result"":206}","206","1.1375"
"Jeanne","Darte","Female","70","1955-08-18",,"n/a","Mass Customer","N","Yes","11","3 Homewood Park","2756","NSW","Australia","7","{""formula"":"""",""result"":0.64}","{""formula"":""Q210*(IF(J210=\""Yes\"",1.25,1))"",""result"":0.8}","{""formula"":""R210*(IF(OR(VALUE(P210)>8,VALUE(D210)>80),1.25,1))"",""result"":0.8}","{""formula"":""S210*(IF(H210=\""Mass Customer\"",0.85,1))"",""result"":0.68}","{""formula"":""RANK(W210,W1:W1002,0)"",""result"":206}","206","1.1375"
"Jenelle","Fearnill","Female","12","1958-01-03","Social Worker","Health","High Net Worth","N","No","19","06 Old Gate Park","2144","NSW","Australia","9","{""formula"":"""",""result"":0.53}","{""formula"":""Q211*(IF(J211=\""Yes\"",1.25,1))"",""result"":0.53}","{""formula"":""R211*(IF(OR(VALUE(P211)>8,VALUE(D211)>80),1.25,1))"",""result"":0.6625000000000001}","{""formula"":""S211*(IF(H211=\""Mass Customer\"",0.85,1))"",""result"":0.6625000000000001}","{""formula"":""RANK(W211,W1:W1002,0)"",""result"":206}","206","1.1375"
"Tannie","Gambrell","Male","92","1967-05-25","Financial Analyst","Financial Services","Affluent Customer","N","No","4","49 Surrey Point","4710","QLD","Australia","4","{""formula"":"""",""result"":1.08}","{""formula"":""Q212*(IF(J212=\""Yes\"",1.25,1))"",""result"":1.08}","{""formula"":""R212*(IF(OR(VALUE(P212)>8,VALUE(D212)>80),1.25,1))"",""result"":1.35}","{""formula"":""S212*(IF(H212=\""Mass Customer\"",0.85,1))"",""result"":1.35}","{""formula"":""RANK(W212,W1:W1002,0)"",""result"":206}","206","1.1375"
"Mick","Macewan","Male","32","1967-12-12","Senior Cost Accountant","Financial Services","Mass Customer","N","No","16","59254 Northland Alley","2032","NSW","Australia","10","{""formula"":"""",""result"":0.92}","{""formula"":""Q213*(IF(J213=\""Yes\"",1.25,1))"",""result"":0.92}","{""formula"":""R213*(IF(OR(VALUE(P213)>8,VALUE(D213)>80),1.25,1))"",""result"":1.15}","{""formula"":""S213*(IF(H213=\""Mass Customer\"",0.85,1))"",""result"":0.9775}","{""formula"":""RANK(W213,W1:W1002,0)"",""result"":206}","206","1.1375"
"Abbie","Oldman","Male","82","1983-11-26",,"Health","High Net Worth","N","Yes","5","4 North Drive","2168","NSW","Australia","8","{""formula"":"""",""result"":0.45}","{""formula"":""Q214*(IF(J214=\""Yes\"",1.25,1))"",""result"":0.5625}","{""formula"":""R214*(IF(OR(VALUE(P214)>8,VALUE(D214)>80),1.25,1))"",""result"":0.703125}","{""formula"":""S214*(IF(H214=\""Mass Customer\"",0.85,1))"",""result"":0.703125}","{""formula"":""RANK(W214,W1:W1002,0)"",""result"":212}","212","1.136875"
"Tabbie","Curner","Male","12","1997-03-13","Chief Design Engineer","Retail","Mass Customer","N","No","6","89 Parkside Street","3021","VIC","Australia","6","{""formula"":"""",""result"":0.41}","{""formula"":""Q215*(IF(J215=\""Yes\"",1.25,1))"",""result"":0.41}","{""formula"":""R215*(IF(OR(VALUE(P215)>8,VALUE(D215)>80),1.25,1))"",""result"":0.41}","{""formula"":""S215*(IF(H215=\""Mass Customer\"",0.85,1))"",""result"":0.3485}","{""formula"":""RANK(W215,W1:W1002,0)"",""result"":212}","212","1.136875"
"Shane","Killen","Male","28","1956-10-16","Account Executive","Entertainment","High Net Worth","N","No","10","7 Hazelcrest Place","2165","NSW","Australia","8","{""formula"":"""",""result"":0.68}","{""formula"":""Q216*(IF(J216=\""Yes\"",1.25,1))"",""result"":0.68}","{""formula"":""R216*(IF(OR(VALUE(P216)>8,VALUE(D216)>80),1.25,1))"",""result"":0.68}","{""formula"":""S216*(IF(H216=\""Mass Customer\"",0.85,1))"",""result"":0.68}","{""formula"":""RANK(W216,W1:W1002,0)"",""result"":212}","212","1.136875"
